type,code,name,ISIN,start,market,group,CFI
上櫃認購(售)權證,718706,神盾元富08購01,TW21Z7187069,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718707,智擎元富08購02,TW21Z7187077,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718708,智擎元富08購03,TW21Z7187085,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718709,力旺統一0A購03,TW21Z7187093,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718710,凡甲統一0A購01,TW21Z7187101,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718711,中天統一0A購01,TW21Z7187119,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718712,昇達科統一0A購01,TW21Z7187127,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718713,海韻電統一0A購02,TW21Z7187135,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718714,群聯統一0A購02,TW21Z7187143,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718715,雍智統一0A購01,TW21Z7187150,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718716,僑威統一09購01,TW21Z7187168,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718717,僑威統一0A購01,TW21Z7187176,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718718,僑威統一0A購02,TW21Z7187184,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718719,僑威統一0A購03,TW21Z7187192,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718720,璟德統一0A購03,TW21Z7187200,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718721,曜越統一09購02,TW21Z7187218,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718722,穩懋統一0A購03,TW21Z7187226,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718723,力旺永豐08購02,TW21Z7187234,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718724,千附永豐08購01,TW21Z7187242,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718725,中美晶永豐08購01,TW21Z7187259,2021/02/25,上櫃,,RWSCCA
上櫃認購(售)權證,718726,友輝永豐08購01,TW21Z7187267,2021/02/25,上櫃,,RWSCCA
